Load1_time1_Set,Load1_time2_Set,Load1_OutMode,Load2_time1_Set,Load2_time2_Set,Load2_OutMode,Scale_Mode,Param_Setup_Voltage,Work_V_Setup,Menu_Password_1,Menu_Password_2,Menu_Password_3,Max_Bat_Limit,Over_V_Comeback,Low_V_Comeback,Low_V_Limit,MPPT_Close_V,MPPT_Start_V
1,1,NIGHT,1,1,NIGHT,pv_v,0,12V,0,0,0,12,11.9,10,9.9,2,4
2,2,DAY,2,2,DAY,extern_v,0.1,24V,1,1,1,12.1,12,10.1,10,2.1,4.1
3,3,,3,3,PWM,,0.2,48V,2,2,2,12.2,12.1,10.2,10.1,2.2,4.2
4,4,,4,4,,,0.3,Auto,3,3,3,12.3,12.2,10.3,10.2,2.3,4.3
5,5,,5,5,,,0.4,,4,4,4,12.4,12.3,10.4,10.3,2.4,4.4
6,6,,6,6,,,0.5,,5,5,5,12.5,12.4,10.5,10.4,2.5,4.5
7,7,,7,7,,,0.6,,6,6,6,12.6,12.5,10.6,10.5,2.6,4.6
8,8,,8,8,,,0.7,,7,7,7,12.7,12.6,10.7,10.6,2.7,4.7
9,9,,9,9,,,0.8,,8,8,8,12.8,12.7,10.8,10.7,2.8,4.8
10,10,,10,10,,,0.9,,9,9,9,12.9,12.8,10.9,10.8,2.9,4.9
11,11,,11,11,,,1,,,,,13,12.9,11,10.9,3,5
12,12,,12,12,,,…,,,,,…,…,…,…,...,…
13,13,,13,13,,,40,,,,,60,59.9,59.8,59.7,25.5,25.5
14,14,,14,14,,,,,,,,,,,,,
15,15,,15,15,,,,,,,,,,,,,
16,16,,16,16,,,,,,,,,,,,,
